ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType
1,0,Home,1,/default.aspx,"Avena Herbal Products",,,,default.aspx,4/5/2012,1,4/5/2012,8/16/2013,1,1,1,0,1,0,0,1934532,0,0,0
2,0,None,2,/about-us/,"About Us",,,,about-us.aspx,4/5/2012,1,4/5/2012,3/11/2014,1,1,2,0,1,0,0,142106,0,0,0
3,0,None,3,/delivery-times/,"Delivery Times",,,,content-item.aspx,4/5/2012,1,4/5/2012,10/22/2021,2,1,3,0,1,0,0,41679,0,0,0
4,0,None,4,/testimonials/,Testimonials,,,,testimonials.aspx,4/5/2012,1,4/5/2012,4/14/2014,1,1,4,0,1,0,0,23070,0,0,0
5,0,None,5,/safety/,Safety,,,,content-item.aspx,4/5/2012,1,4/5/2012,5/17/2015,2,1,5,0,1,0,0,22661,0,0,0
6,0,Contact,1,/contact-us/,"Contact Us",,,,contact.aspx,4/5/2012,1,4/5/2012,1/6/2014,1,1,6,0,1,0,0,79736,0,0,0
7,0,None,7,/making-a-purchase/,"Making a Purchase",,,,content-item.aspx,4/5/2012,1,4/5/2012,10/25/2012,2,1,8,0,1,0,0,19397,0,0,0
8,0,SiteMap,1,/site-map/,"Site Map",,,,site-map.aspx,4/5/2012,1,4/5/2012,4/5/2012,1,1,8,0,1,0,0,12450,0,0,0
9,0,None,9,/terms-of-use/,"Terms of Use",,,,content-item.aspx,4/5/2012,1,4/5/2012,5/30/2012,1,1,9,0,1,0,0,14953,0,0,0
10,0,None,10,/privacy-policy/,"Privacy Policy",,,,content-item.aspx,4/5/2012,1,4/5/2012,5/26/2018,6,1,10,0,1,0,0,16742,0,0,0
11,0,None,11,/links/,Links,,,,content-item.aspx,4/5/2012,1,4/5/2012,5/29/2012,1,1,11,0,1,0,0,17338,0,0,0
14,0,ManufacturerItem,2,/avena/,Avena,,,,manufacturer-item.aspx,4/5/2012,1,4/5/2012,4/5/2012,1,0,1,0,1,0,0,0,0,0,0
31,0,Ecommerce,1,/shopping-basket/,"Shopping Basket",,,,shopping-basket.aspx,4/11/2012,1,4/11/2012,4/11/2012,1,1,1,0,1,0,0,559867,0,0,0
32,0,ProductSearchResults,1,/search-results/,"Search Results",,,,search-results.aspx,4/11/2012,1,4/11/2012,4/11/2012,1,1,1,0,1,0,0,780900,0,0,0
76,0,Part,1,n/a,"Footer - Top Text",,,,basic.htm,4/12/2012,0,4/12/2012,11/13/2014,1,1,1000,0,1,0,0,0,0,0,0
77,0,None,14,/wholesale/,Wholesale,,,,wholesale.aspx,5/1/2012,1,5/1/2012,6/7/2012,1,1,7,0,1,0,0,94117,0,0,0
78,5,None,15,/safety/making-a-purchase/,"Making a Purchase",,,,content-item.aspx,5/29/2012,1,5/29/2012,5/29/2012,1,0,1,0,1,0,0,4347,0,0,0
81,77,None,16,/wholesale/wholesale-faqs/,"Wholesale FAQ's",,,,content-item.aspx,5/31/2012,1,5/31/2012,8/19/2022,2,0,1,0,1,0,0,9086,0,0,0
3962,77,None,17,/wholesale/dropship-faqs/,"Dropship FAQ's",,,,content-item.aspx,10/31/2012,1,10/31/2012,10/18/2023,2,0,2,0,1,0,0,48484,0,0,0
5319,0,Blog,18,/blog/,Blog,,,,blog.aspx,7/16/2013,1,7/16/2013,7/16/2013,1,1,99,0,1,0,0,32375,0,0,0
5321,0,BlogItem,3,/blog/2013/7/essential-oils-a-brief-history/,"Essential oils – a brief history","| Benefits of essential oils | Fragrance Oils","essential oil, fragrance oil, essential oil benefits, using essential oils","Avena have a wide range of essential oils available that are used for a variety of different reasons. Essential oils are a great way to treat a range of common ailments in a natural way.",blog-item.aspx,7/16/2013,1,7/16/2013,1/7/2014,1,0,1,0,1,0,0,996,0,0,0
5324,0,BlogItem,4,/blog/2013/7/reducing-stress-in-a-busy-modern-world-how-can-i-use-essential-oils/,"Reducing stress in a busy modern world – how can I use essential oils?",,,,blog-item.aspx,7/19/2013,1,7/19/2013,7/26/2013,1,0,1,0,1,0,0,2233,0,0,0
5327,0,BlogItem,5,/blog/2013/7/how-can-i-use-wind-chimes-to-help-me-relax/,"How can I use wind chimes to help me relax?","| Wind Chimes | Relax with wind chimes","wind chimes, chimes, relax with wind chimes","Wind Chimes can be a great way to relax as many produce soothing sounds which help to sooth you. Our blog looks into why they are popular.",blog-item.aspx,7/23/2013,10,7/23/2013,1/7/2014,1,0,1,0,1,0,0,1233,0,0,0
5328,0,BlogItem,6,/blog/2013/7/massage-oils-v-facial-oils-which-is-the-most-effective/,"Massage oils v facial oils – which is the most effective?","Massage Oils and Facial Oils, Essential Oils for your skin, Skincare, Natural Skincare","Massage Oils, Moisturising Oils, Moisturising Skincare","Massage Oils and Facial Oils can be beneficial for the skin as a natural way to moisturising, but which, if either, has the edge?",blog-item.aspx,7/25/2013,1,7/25/2013,1/7/2014,1,0,1,0,1,0,0,651,0,0,0
5329,0,BlogItem,7,/blog/2013/7/what-are-the-best-fragrance-oils-for-relaxation/,"What are the best fragrance oils for relaxation?",,"Fragrance Oils",,blog-item.aspx,7/25/2013,1,7/25/2013,1/6/2014,1,0,1,0,1,0,0,871,0,0,0
