ContentID,ParentContentID,AssociateType,AssociateID,FileName,PageTitle,AdditionalPageTitle,MetaKeywords,MetaDescription,Template,CreatedDate,CreatedByUserID,PublishedDate,LastUpdated,UpdatedByUserID,Protected,Rank,ProductRank,Enabled,Featured,RedirectContentID,Views,MapID,GalleryID,NotificationType,category_content_id,tbl_Product_ProductID,tbl_Product_ManufacturerID,tbl_Product_Code,tbl_Product_MPN,tbl_Product_GTIN,tbl_Product_Price,tbl_Product_PriceWholesale,tbl_Product_SalePrice,tbl_Product_TotalStock,tbl_Product_Weight,tbl_Product_Width,tbl_Product_Height,tbl_Product_Location,tbl_Product_ShippingAdditional,tbl_Product_SpecificShippingTypeID,tbl_Product_Featured,tbl_Product_Derivative1,tbl_Product_Derivative2,tbl_Product_GoogleProductCategory,tbl_Product_GoogleAdwordsLabels,tbl_Product_GoogleAdwordsRedirect,tbl_Product_SpecialNote,tbl_Product_SpecialNoteShort,productType,tbl_derivative_DerivativeID,tbl_derivative_ProductID,tbl_derivative_Title,tbl_derivative_Title2,tbl_derivative_TotalStock,tbl_derivative_ProductImage,tbl_derivative_SwatchImage,tbl_derivative_BackInStock,tbl_derivative_Price,tbl_derivative_PriceWholesale,tbl_derivative_Weight,tbl_derivative_Location,tbl_derivative_Enabled,tbl_derivative_Code,tbl_derivative_DerivRank,tbl_derivative_DerivGTIN,tbl_derivative_DerivMPN
1565,0,Product,1150,/aastha-incense-sticks-satya-15g-box-of-twelve-special-offer/,Aastha Incense Sticks Satya 15g Box Of Twelve Special Offer,| Incense Sticks Nag Champa Aastha,"nag champa, aastha, incense stick, incense, aromatherapy, smoke, relaxing",Regular users of Nag Champa may have used Aastha already as it has been the free sample in standard packs of Nag Champa incense sticks. The fragrance is similar to the original Nag but with its own unique slightly floral aroma.,product.aspx,8/15/2012,1,8/15/2012,5/5/2021,2,0,1,0,1,0,0,11646,0,0,0,13049|51|57,1150,14,,,,12.99,8.99,0,,100,0,0,A9A,0,0,0,Size,n/a,,,,This item is part of our 2 for 19.99 offer. Mix and match any 2 products in this offer for only 19.99!,Any 2 for 19.99,config,2152,1150,Pack of Twelve Boxes (Approx 168 Sticks),n/a,0,,,,12.99,9.99,0.5,A8B,1,1418,1,8.90E+12
1566,0,Product,1151,/African-Jade-Palmstone/,African Jade Palmstone,| Palm Stone African Jade,"palmstone, palm stone, meditation, natural stone, gemstone, polished stone, african, jade",African Jade is a wonderful shade of green with a fantastic natural stone pattern throughout. Thought to bring or strengthen friendship (an ideal gift for a friend) and bring hope and inspiration.,product.aspx,8/15/2012,1,8/15/2012,2/28/2023,23,0,1,0,1,0,0,3088,0,0,0,61|188|200,1151,14,,,,7.99,4.16,0,,400,0,0,B8CD1,0,0,0,Size,n/a,,,,,,config,2153,1151,n/a,n/a,0,,,,9.99,5.99,0.07,B8CD1,1,PS24,1
1567,0,Product,1152,/African-Jade-Sphere-Large-45mm/,African Jade Sphere Large 45mm,,,,product.aspx,8/15/2012,1,8/15/2012,9/25/2017,2,0,1,0,0,0,0,103,0,0,0,188|200|4005,1152,14,,,,12.99,5.83,0,,300,0,0,,0,0,0,Size,n/a,,,,,,config,2154,1152,n/a,n/a,0,,,,16.99,9.99,0.3,,1,SM01,1
1568,0,Product,1153,/after-shave-cream/,After Shave Cream,| Cream for After Shaving,"Aftershave, balm, moisturise, essential oil",Blended using essential oils reputed to help moisturise and protect sensitive skin with a fresh smelling aroma. This after shave balm could help to eliminate razor burn and re-hydrate the skin after shaving whether by razor or electric shaver.,product.aspx,8/15/2012,1,8/15/2012,7/7/2019,24,0,1,0,1,0,0,9938,0,0,0,20,1153,14,,,,7.99,3.33,0,,170,0,0,,0,0,0,Size,n/a,,,,,,config,2155,1153,60ml Jar,n/a,0,,,,7.99,3.99,0.35,VS1D/L7D,1,AVCRM6/60,1,7.36E+11
1568,0,Product,1153,/after-shave-cream/,After Shave Cream,| Cream for After Shaving,"Aftershave, balm, moisturise, essential oil",Blended using essential oils reputed to help moisturise and protect sensitive skin with a fresh smelling aroma. This after shave balm could help to eliminate razor burn and re-hydrate the skin after shaving whether by razor or electric shaver.,product.aspx,8/15/2012,1,8/15/2012,7/7/2019,24,0,1,0,1,0,0,9938,0,0,0,20,1153,14,,,,7.99,3.33,0,,170,0,0,,0,0,0,Size,n/a,,,,,,config,6550,1153,120ml Jar,,0,,,,14.99,7.49,0.45,L7D,1,AVCRM6/120,1,7.36E+11
1569,0,Product,1154,/Agate-Heart-Large/,Agate Heart Large,| Heart Large Agate,"heart, gemstone, natural stone, polished stone, gift, heart, agate",Agate is associated with healing properties. It is said to be the stone of balance and to be able to absorb negative energy. Agate is formed when the cavities in lava are filled with gas bubbles.,product.aspx,8/15/2012,1,8/15/2012,3/16/2022,2,0,1,0,0,0,0,7684,0,0,0,44|188|190,1154,14,,,,6.99,2.99,0,,100,0,0,B8CD13,0,0,0,Size,n/a,,,,,,config,2156,1154,n/a,n/a,0,,,,9.99,5.99,0.2,B8CD13,1,HM02,1
1570,0,Product,1155,/Agate-Palmstone/,Agate Palmstone,| Palmstone Agate,"palmstone, palm stone, meditation, natural stone, gemstone, polished stone, agate","Agate is treasured as a good overall healing stone that can also assist in discovering the truth. It is said to ease painful conditions such as bruises, strains and sprains. Palmstones are a great way to ease stress and aid relaxation. Made from a wi",product.aspx,8/15/2012,1,8/15/2012,9/8/2022,2,0,1,0,1,0,0,6961,0,0,0,13049|61|188|190,1155,14,,,,12.99,6.99,0,,400,0,0,B8CD1,0,0,0,Size,n/a,,,,Included in our 2 for 19.99 offer- Add any 2 items in this offer for only 19.99,Any 2 for 19.99,config,2157,1155,n/a,n/a,0,,,,12.99,6.99,0.07,B8CD1,1,PS13,1
1575,0,Product,1160,/aloe-vera-clear-gel-cosmetic-grade/,Aloe Vera Clear Gel Cosmetic Grade,| Cosmetic Aloe Vera Gel Clear,"avena, aloe, vera, sooth, calm, burn, cut, glaze, gel, cool, jar, travel",Our aloe vera clear gel is a fantastic product which can be used on all skin types and could aid a variety of skin conditions.,product.aspx,8/15/2012,1,8/15/2012,11/16/2023,2,0,1,0,1,0,0,50232,0,0,0,23|20|68,1160,14,,,,19.99,8.33,0,,500,0,0,,0,0,0,Size,n/a,,,,,,config,2162,1160,500ml Plastic Tub (Traditional Label),n/a,0,,,,19.99,9.99,1,L4B,0,AVAG500,0,7.36E+11
1575,0,Product,1160,/aloe-vera-clear-gel-cosmetic-grade/,Aloe Vera Clear Gel Cosmetic Grade,| Cosmetic Aloe Vera Gel Clear,"avena, aloe, vera, sooth, calm, burn, cut, glaze, gel, cool, jar, travel",Our aloe vera clear gel is a fantastic product which can be used on all skin types and could aid a variety of skin conditions.,product.aspx,8/15/2012,1,8/15/2012,11/16/2023,2,0,1,0,1,0,0,50232,0,0,0,23|20|68,1160,14,,,,19.99,8.33,0,,500,0,0,,0,0,0,Size,n/a,,,,,,config,10411,1160,200ml Plastic Tub (Traditional Label),,0,,,,19.99,9.99,0.62,L4B,1,AVAG200,0,6.16E+11
1575,0,Product,1160,/aloe-vera-clear-gel-cosmetic-grade/,Aloe Vera Clear Gel Cosmetic Grade,| Cosmetic Aloe Vera Gel Clear,"avena, aloe, vera, sooth, calm, burn, cut, glaze, gel, cool, jar, travel",Our aloe vera clear gel is a fantastic product which can be used on all skin types and could aid a variety of skin conditions.,product.aspx,8/15/2012,1,8/15/2012,11/16/2023,2,0,1,0,1,0,0,50232,0,0,0,23|20|68,1160,14,,,,19.99,8.33,0,,500,0,0,,0,0,0,Size,n/a,,,,,,config,5528,1160,60ml Glass Jar (New Label),n/a,0,,,,7.99,3.99,0.35,VS2D/L4B,1,AVAG60,1,7.36E+11
1575,0,Product,1160,/aloe-vera-clear-gel-cosmetic-grade/,Aloe Vera Clear Gel Cosmetic Grade,| Cosmetic Aloe Vera Gel Clear,"avena, aloe, vera, sooth, calm, burn, cut, glaze, gel, cool, jar, travel",Our aloe vera clear gel is a fantastic product which can be used on all skin types and could aid a variety of skin conditions.,product.aspx,8/15/2012,1,8/15/2012,11/16/2023,2,0,1,0,1,0,0,50232,0,0,0,23|20|68,1160,14,,,,19.99,8.33,0,,500,0,0,,0,0,0,Size,n/a,,,,,,config,20607,1160,120ml Glass Jar (Traditional Label),,0,,,,14.99,7.49,0.6,L4B,1,AVAG120,1
1577,0,Product,1162,/amethyst-buddha-50mm/,Amethyst Buddha 50mm,| Gemstone Buddha Amethyst,"buddha, luck, wealth, wisdom, gemstone, polished, natural, semi, precious, amethyst","A beautiful natural stone Buddha cut from amethyst which is said to aid soothing, healing and cleansing, it is still one of the most popular stones even if it's slightly more expensive than some others.",product.aspx,8/15/2012,1,8/15/2012,2/20/2019,2,0,1,0,0,0,0,1714,0,0,0,21|188|191,1162,14,,,,17.99,9.16,0,,500,0,0,,0,0,0,Size,n/a,,,,,,config,2164,1162,n/a,n/a,0,,,,19.99,10.99,0.3,B8C,1,BM01,1
1578,0,Product,1163,/Amethyst-Gemstone/,Amethyst Gemstone,| Gemstone Amethyst,"stone, bag, collection, tumblestone, polished, collection, amethyst","Amethyst, with its rich purple colour, is one of our most popular gemstones. It's said to be a powerful aid to creative thinking, spiritual awareness and healing and is also said to combat insomnia.",product.aspx,8/15/2012,1,8/15/2012,4/15/2023,2,0,1,0,0,0,0,8296,0,0,0,13056|49|188|191,1163,14,,,,1,0.42,0,,25,0,0,A7C,0,0,0,Size,n/a,,,,This item is part of our 10 for 10 offer. Mix and match any 10 products in this offer for only 10!,Any 10 for 10,config,2165,1163,n/a,n/a,0,,,,1.39,0.89,0.025,A7C,1,T075,1
1579,0,Product,1164,/Amethyst-Heart-Small/,Amethyst Heart Small,| Heart Small Amethyst,"heart, gemstone, natural stone, polished stone, gift, heart, amethyst","Amethyst, with its rich purple colour, is one of our most popular gemstones even though slightly more expensive than some others. It's said to be a powerful aid to creative thinking,",product.aspx,8/15/2012,1,8/15/2012,4/9/2017,6,0,1,0,1,0,0,8946,0,0,0,44|188|191,1164,14,,,,4.99,2.49,0,,200,0,0,B8BD1,0,0,0,Size,n/a,,,,,,config,2166,1164,n/a,n/a,0,,,,4.99,2.99,0.1,B8BD1,1,HSB3,1
